kosu,t,beta_kacan,beta_ust_bekleyenle,bekleyen_kutle_yuzde,yakin_oran,uzak_oran,koni_derece,mermi_bagsiz
U0:kaba:20260906,0.100,1.9188,2.2582,0.1096,0.2934,0.0000,113.5,0.920
U0:kaba:99991111,0.100,1.9737,2.4792,0.1244,0.4739,0.0000,94.0,0.994
U0:orta:20260906,0.100,1.8168,3.1024,0.3420,0.5342,0.0000,109.8,1.000
U0:orta:99991111,0.100,1.8240,3.5298,0.3671,0.5694,0.0000,110.5,1.000
U1:kaba:20260906,0.100,2.0067,2.6252,0.2224,0.4131,0.0000,87.9,0.999
U1:kaba:99991111,0.100,2.0919,2.9044,0.2230,0.5040,0.0000,86.0,0.998
U2:kaba:20260906,0.100,2.0067,2.6250,0.2222,0.4129,0.0000,87.9,0.999
U2:kaba:99991111,0.100,2.0918,2.9045,0.2230,0.5038,0.0000,88.2,0.999
U3:kaba:20260906,0.100,1.9484,2.3760,0.1492,0.2998,0.0000,102.8,0.930
U3:kaba:99991111,0.100,2.0145,2.6209,0.1551,0.4836,0.0000,92.8,0.983
U4:kaba:20260906,0.100,1.9682,2.4455,0.1711,0.3076,0.0000,100.7,0.943
U4:kaba:99991111,0.100,2.0374,2.7162,0.1798,0.4855,0.0000,91.7,0.980
U5:kaba:20260906,0.100,1.8103,2.0366,0.0809,0.2579,0.0000,105.5,0.904
U5:kaba:99991111,0.100,1.8457,2.1460,0.0843,0.4323,0.0000,99.7,0.981
U6:kaba:20260906,0.100,1.7919,2.3586,0.2198,0.3905,0.0000,111.5,0.981
U6:kaba:99991111,0.100,1.8293,2.5401,0.2289,0.4473,0.0000,99.4,0.991
U8:kaba:20260906,0.100,1.7737,2.5242,0.3312,0.4432,0.0000,91.8,0.998
U8:kaba:99991111,0.100,1.8155,2.6375,0.2867,0.4605,0.0000,90.6,1.000
U8:orta:20260906,0.100,1.7511,4.1106,0.9009,0.3712,0.0000,105.5,1.000
U8:orta:99991111,0.100,1.7889,4.5291,0.8768,0.4487,0.0000,102.0,1.000
V0:kaba:20260906,0.200,1.8860,2.1080,0.1017,0.2152,0.0000,109.4,0.771
V0:kaba:99991111,0.200,1.9229,2.2181,0.1109,0.2657,0.0000,96.9,0.838
V1:kaba:20260906,0.200,1.8860,2.1080,0.1017,0.2153,0.0000,109.4,0.771
V1:kaba:99991111,0.200,1.9229,2.2181,0.1109,0.2657,0.0000,96.9,0.837
V2:kaba:20260906,0.200,1.8864,2.1066,0.1011,0.2100,0.0000,109.3,0.733
V2:kaba:99991111,0.200,1.9229,2.2181,0.1109,0.2657,0.0000,96.9,0.838
V3:kaba:20260906,0.200,1.8864,2.1066,0.1011,0.2100,0.0000,109.3,0.731
V3:kaba:99991111,0.200,1.9229,2.2181,0.1109,0.2657,0.0000,96.9,0.837
V4:kaba:20260906,0.200,1.7561,2.2536,0.2477,0.2973,0.0000,117.5,0.858
V4:kaba:99991111,0.200,1.7680,2.3664,0.2393,0.3836,0.0000,107.5,0.907
