# DART-RIFT ensemble -- TRUBA is 1515252, kolyoz-cuda (H100), 2026-08-21
# lam2 = 4, n_bins = 16, t_end = 0.2 s, 40 nokta (9 kose + 31 LHS),
# root_seed = 20260810, uzay = DART_UZAYI_S3
# UYARI: lam2 VE n_bins birlikte degisti -- tek degiskenli DEGIL.
i,boulder_alpha0,Y0,f_boulder,beta,krater_derinlik,ejekta_kutle_kesri,krater_cap
0,1,1000,0.05,1.354396547,16.44589667,1.675452019e-07,7.4916
1,1.3,1000,0.05,1.362747379,15.43129577,1.689324094e-07,5.4032
2,1,10000000,0.05,1.355789258,16.38865824,1.675452019e-07,7.4916
3,1.3,10000000,0.05,1.364015785,15.23728698,1.689324094e-07,5.4032
4,1,1000,0.5,1.319213053,13.64533521,1.566099252e-07,7.4916
5,1.3,1000,0.5,1.35079096,16.2216863,1.668998462e-07,7.4916
6,1,10000000,0.5,1.321253299,14.35662368,1.566099252e-07,7.4913
7,1.3,10000000,0.5,1.352198241,16.15434567,1.668998462e-07,7.4916
8,1.15,100000,0.275,1.345517514,16.02269964,1.659288342e-07,7.4916
9,1.038616496,19903.34483,0.3476048088,1.324306034,13.93880164,1.591515048e-07,7.4915
10,1.15540764,1923449.291,0.1351178509,1.356361754,16.39617523,1.678241916e-07,7.4916
11,1.170649106,4044.133679,0.2846228531,1.346348914,16.0844808,1.660902701e-07,7.4916
12,1.23856645,452199.8019,0.09906780324,1.36139913,14.01243343,1.687030585e-07,7.4916
13,1.050291704,4098918.583,0.1562254448,1.352413366,16.189074,1.670727753e-07,7.4916
14,1.078416246,7122166.353,0.2980694708,1.337494172,15.26566154,1.634214414e-07,7.4916
15,1.279393717,289436.0741,0.1404464214,1.360448021,13.92846852,1.685517754e-07,7.4916
16,1.152987146,6256.123896,0.3319223,1.339496033,13.75449028,1.644168815e-07,7.4916
17,1.213811615,14382.60665,0.439427777,1.342576364,15.95690445,1.65142722e-07,7.4916
18,1.192009656,29339.31389,0.1887782747,1.353769558,16.31262307,1.674310721e-07,7.4916
19,1.253229735,114160.0817,0.2100557692,1.356727721,16.4583452,1.679349574e-07,7.4916
20,1.094507046,63892.40868,0.4965471284,1.330282205,14.06817167,1.616109684e-07,7.4916
21,1.115881305,234274.3324,0.229093768,1.348321136,16.15733446,1.664359527e-07,7.4916
22,1.042207497,46894.37737,0.4160500503,1.322919972,13.75745665,1.58521976e-07,7.4915
23,1.197499648,1295.625945,0.3891659262,1.341087777,15.21681771,1.648528333e-07,7.4915
24,1.143010097,4496618.228,0.3716590516,1.335684035,15.22950134,1.629588167e-07,7.4916
25,1.231023199,8636.948397,0.2530034755,1.352881592,16.26277385,1.672843026e-07,7.4916
26,1.286202289,824009.3759,0.08652123058,1.362588492,15.36308755,1.68882806e-07,5.4032
27,1.016419934,1557487.152,0.06576736793,1.355251521,16.39309964,1.676423129e-07,7.4916
28,1.076821943,1384.608165,0.3556769239,1.329596553,14.14841318,1.614090705e-07,7.4915
29,1.008820333,2340.802803,0.1787682277,1.346491233,16.09301024,1.661193249e-07,7.4916
30,1.208775654,195792.5062,0.4848395636,1.342164857,15.91964322,1.650540604e-07,7.4916
31,1.299748864,15868.88718,0.2586156978,1.356264628,16.45429593,1.678624472e-07,7.4916
32,1.263470027,521387.3821,0.2011501034,1.357278572,16.42738277,1.680144741e-07,7.4916
33,1.020003712,3011152.363,0.3200763781,1.328413856,14.11735763,1.606423793e-07,7.4916
34,1.105267695,2802.200115,0.4095677604,1.33107078,14.05820654,1.618407677e-07,7.4915
35,1.118108757,4912.392413,0.4648487991,1.332811819,15.94926228,1.624554652e-07,7.4915
36,1.245291642,1140781.929,0.4502103832,1.346256179,16.01931263,1.660269365e-07,7.4916
37,1.176882026,8179780.91,0.1136313327,1.360895663,16.40503922,1.684486782e-07,7.4916
38,1.134644773,120952.2922,0.2698613451,1.345130445,16.00633147,1.658547061e-07,7.4916
39,1.061217472,67840.71211,0.05972023971,1.356472986,16.46465028,1.678919706e-07,7.4916
